Nombre,Calle,Ciudad,Zona
Abarrotería América,Costado de Mercado 3 de Mayo, Guatemala,6
Abarrotería Balcones 1,5a Avenida 2-63 Balcones San Cristobal,San Cristóbal,8
Abarrotería Belen M,Villa Canales C.C.,Villa Canales,0
Abarrotería Central,San Lucas,San Lucas,0
Abarrotería Eclipse,1a Av 1-04 Zona 1,Guatemala,1
Abarrotería el Ahorro,32 Avenida 25-12 Colonia Bethania,Guatemala,0
Abarrotería El Buen Precio de Hellen,31 Avenida E 14-23 San Martín,Guatemala,0
Abarrotería El Sauce,1a calle y 1a Av 3-08 Zona 1,Guatemala,1
Abarrotería La Mini Surtidora,San Lucas,San Lucas,0
Abarrotería Los Angeles,10ma Calle 15-10 Barrio Gerona,Guatemala,0
Abarrotería Manantial,7 Ave 9-30 mercado,Guatemala,0
Abarroteria Santa Ana,Zona 17,Guatemala,17
Abarrotería Santo Domingo,7 Avenida #11-58 Barrio Gerona Zona 1,Guatemala,0
Balcones Mercado Central,5a Avenida 2-63 Balcones San Cristóbal,San Cristóbal,8
Abarrotería y Concentrados Santa Cruz,16 Av 15-89 Cipresales,Guatemala,6
Abel Gómez,31 Av 0-48 Colonia Utatlán 1,Guatemala,7
Abel Gómez - La Esperanza,31 Av 0-48 Colonia Utatlán 1 Zona 7,Guatemala,7
Acuario Melissa Villa Nueva,Interior mercado Villa Nueva Villa Nueva,0
Acuario y Concentrados Jireh,C.P. Belén,Guatemala,0
Acuartum Juan Lopez,2do Nivel Mercado Santa Catarina Pinula,Santa Catarina Pinula,0
AGRO 21,Sociedad Anónima 3a Calle Mixco,Mixco,0
Agrocomercial Torre Fuerte,2a Avenida 00-29 Villa Canales,0
Agromary Las Flores,Diagonal 12 Barrio Las Flores,Quetzaltenango,0
Agropecuaria El Privilegio,Colonia Peronia Villa Nueva,0
Agropecuaria El Rejo,Fraijanes,0
Agropecuaria La Bendición Milpas Altas,Milpas Altas,0
Agropecuaria La Bendicion Villa Canales,1 Avenida 5-01 Zona 1 Villa Canales,0
Agropecuaria San Joaquin,Exterior Mercado Villa Canales,0
Agropecuaria Tonalá,2ave 8-44 zona 4 San Pedro,San Marcos,4
Agropecuaria Yol,Sumpango,Sacatepéquez,0
Agropecuaria GM Amatitlán,Comercial Margaritas Amatitlán,0
AGROSAFARI Guatemala,5ta Avenida 06-45,Guatemala,0
AGROSAFARI San Cristóbal,Ciudad San Cristóbal Zona 8,Guatemala,8
AGROSAFARI Zona 10,19 Calle y 10 Avenida Zona 10,Guatemala,10
AGROSAFARI Zona 11,Anillo Periférico Zona 11,Guatemala,11
AGROSAFARI Zona 15,2a Calle Zona 15,Guatemala,15
AGROSAFARI Zona 4,7a Calle Zona 4,Guatemala,4
AGROSAFARI Zona 7,Plaza Puma Zona 7,Guatemala,7
AGROSAFARI Zona 9,5ta Avenida Zona 9,Guatemala,9
Agro Servicios El Semillero,1ra Calle Zona 4 Villa Nueva,0
Agro Veterinaria de Mixco,6ta Calle Zona 1 Mixco,Mixco,1
Agroveterinaria El Campo,1a Avenida y 10a Calle Villa Canales,0
Agroveterinaria El Corral,Boulevard San José Pinula,San José Pinula,0
Agro Veterinaria Vida,1a Calle Zona 04 Villa Nueva,0
Aler Vet Veterinaria & Clinic,Blvd Sur Plaza Helios Zona 8 Mixco,Mixco,8
Bodega Central Mesperk,10av 31-34 zona 8,Guatemala,8
Bodega Central MSA,Zona 8,Guatemala,8
BUCUP Mis Mascotas,Xela exterior mercado Democracia,Xela,0
Byron,Ciudad de Guatemala,Guatemala,0
Blue Electronics,Boulevard Sur,Guatemala,0
Carlos Enrique Donis Enríquez,Boulevard San Ignacio Mixco,Mixco,0
Centro Veterinario Animal Planet,Diagonal 6 zona 10,Guatemala,10
CHAJON HERNANDEZ,32 Avenida 20-06 San Miguel Petapa,San Miguel Petapa,0
Ani-Mall Zona 1,1ra Calle Zona 1 La Candelaria,Guatemala,1
Ani-Mall Zona 5,Centro Comercial Novicentro Zona 5,Guatemala,5
Animals Care Center,Diagonal 17 Zona 11,Guatemala,11
Aqualife and Pets,Valle Almería Zona 11,Guatemala,11
ARENS LILIAN LUCRECIA,9av 3-66 La Ceiba,Guatemala,0
Huellitas PetShop,Calzada Mateo Flores,Guatemala,0
Astrid Alicia Barahona,,(sin dirección),0
Atencion Veterinaria Santa Catarina Pinula,Sector Norte 1 Z10 Sta Catarina Pinula,Santa Catarina Pinula,10
Axpuaca Lily Gricelda,5 calle 1-58, Sacatepéquez,0
Veterinaria Panorama,Boulevard Sur San Cristóbal 1,Mixco,0
Belén Martínez,7  Av 28-23 Zona 3,Guatemala,3
